,rating,review
0,0,
1,0,
2,1,это не бывать так
3,0,ужасно я не мочь нормальный играть после тот как я набирать очки или что это там игра сразу вылетать это повторяться кажды раз после набор это количество очки
4,0,игра очень топовый но когда я пытаться в она поиграть она весь время не запускаться что это за проблема устройство
5,1,эх ностальгия
6,1,спасибо за игра детство
7,1,этот крутой игра
8,1,топ
9,0,извинить а где мой прогресс рекорд по очки остаться но нет ни монета ни ключ ни персонаж ничто нет
10,0,игра сам крутой но есть много недочёт например когда у я рекорд то когда я заходить в у я показывать что я на бронза хотя быть на серебро и рекорд это раз далёкий напичкать очень много реклама не возможно играть остальной я не быть перечислять если захотеть то сам увидеть
11,1,хороший новое обновление
12,1,спасибо вы за такой крутой игруиграть в она с детствано она я до сей пора нравитсяный я бы хотеть бы новый перс в игра как по я они там маловатобыть рада если вы сделать такой маленький и приятный обновлениеа так весь супер весь советовать
13,0,до сей пора нет русский язык это реально странно
14,0,в последний обновление начать проигрывать из за фантомный несуществующий препятствие поимущественный в прыжок с вагон
